site_id|site_name|tower_began|tower_end|location_lat|location_long|location_elev|igbp|climate_koeppen|mat|map|site_id|site_name|tower_began|tower_end|location_lat|location_long|location_elev|mat|map|climate_koeppen|site_years|online_data
CA-Gro|Ontario - Groundhog River, Boreal Mixedwood Forest.|2003||48.2167|-82.1556|340.00|MF|Dfb|1.30|831|CA-Gro|Ontario - Groundhog River, Boreal Mixedwood Forest.|2003|NA|48.2167|-82.1556|340|1.3|831|Dfb|NA|yes
CA-Let|Alberta - Mixed Grass Prairie|1998||49.7093|-112.9402|960.00|GRA|Dfb|5.36|398|CA-Let|Alberta - Mixed Grass Prairie|1998|NA|49.7093|-112.9402|960|5.36|398|Dfb|NA|no
CA-Man|Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area)|1994|2008|55.8796|-98.4808|259.00|ENF|Dfc|-3.20|520|CA-Man|Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area)|1994|2008|55.8796|-98.4808|259|-3.2|520|Dfc|15|yes
CA-Mer|Ontario - Eastern Peatland, Mer Bleue|1998||45.4094|-75.5186|70.00|WET|Dfb|6.07|891|CA-Mer|Ontario - Eastern Peatland, Mer Bleue|1998|NA|45.4094|-75.5186|70|6.07|891|Dfb|NA|no
CA-Na1|New Brunswick - 1967 Balsam Fir - Nashwaak Lake Site 01 (Mature balsam fir forest).|2003||46.4722|-67.1000|341.00|ENF|Dfb|7.09|1103|CA-Na1|New Brunswick - 1967 Balsam Fir - Nashwaak Lake Site 01 (Mature balsam fir forest).|2003|NA|46.4722|-67.1|341|7.09|1103|Dfb|NA|no
CA-Na2|New Brunswick - 1975 Balsam Fir - Nashwaak Lake site 02 (Young balsam fir forest  to be thinned fall 2004).|||46.4758|-67.0769||MF|Dfb|6.59|1087|CA-Na2|New Brunswick - 1975 Balsam Fir - Nashwaak Lake site 02 (Young balsam fir forest  to be thinned fall 2004).|NA|NA|46.4758|-67.0769|NA|6.59|1087|Dfb|NA|no
CA-NS1|UCI-1850 burn site|2002|2005|55.8792|-98.4839|260.00|ENF|Dfc|-2.89|500|CA-NS1|UCI-1850 burn site|2002|2005|55.8792|-98.4839|260|-2.89|500|Dfc|4|yes
CA-NS2|UCI-1930 burn site|2001|2005|55.9058|-98.5247|260.00|ENF|Dfc|-2.88|500|CA-NS2|UCI-1930 burn site|2001|2005|55.9058|-98.5247|260|-2.88|500|Dfc|5|yes
CA-NS3|UCI-1964 burn site|2001|2005|55.9117|-98.3822|260.00|ENF|Dfc|-2.87|502|CA-NS3|UCI-1964 burn site|2001|2005|55.9117|-98.3822|260|-2.87|502|Dfc|5|yes
CA-NS4|UCI-1964 burn site wet|2002|2004|55.9117|-98.3822|260.00|ENF|Dfc|-2.87|502|CA-NS4|UCI-1964 burn site wet|2002|2004|55.9117|-98.3822|260|-2.87|502|Dfc|3|yes
CA-NS5|UCI-1981 burn site|2001|2005|55.8631|-98.4850|260.00|ENF|Dfc|-2.86|500|CA-NS5|UCI-1981 burn site|2001|2005|55.8631|-98.485|260|-2.86|500|Dfc|5|yes
CA-NS6|UCI-1989 burn site|2001|2005|55.9167|-98.9644|244.00|OSH|Dfc|-3.08|495|CA-NS6|UCI-1989 burn site|2001|2005|55.9167|-98.9644|244|-3.08|495|Dfc|5|yes
CA-NS7|UCI-1998 burn site|2002|2005|56.6358|-99.9483|297.00|OSH|Dfc|-3.52|483|CA-NS7|UCI-1998 burn site|2002|2005|56.6358|-99.9483|297|-3.52|483|Dfc|4|yes
CA-NS8|UCI-2003 burn site|2001|2005|55.8981|-98.2161|274.00|ENF|Dfc|-2.71|507|CA-NS8|UCI-2003 burn site|2001|2005|55.8981|-98.2161|274|-2.71|507|Dfc|5|yes
CA-Oas|Saskatchewan - Western Boreal, Mature Aspen.|1997||53.6289|-106.1978|530.00|DBF|Dfc|0.34|429|CA-Oas|Saskatchewan - Western Boreal, Mature Aspen.|1997|NA|53.6289|-106.1978|530|0.34|429|Dfc|NA|no
CA-Obs|Saskatchewan - Western Boreal, Mature Black Spruce.|1999||53.9872|-105.1178|628.94|ENF|Dfc|0.79|406|CA-Obs|Saskatchewan - Western Boreal, Mature Black Spruce.|1999|NA|53.9872|-105.1178|628.94|0.79|406|Dfc|NA|no
CA-Ojp|Saskatchewan - Western Boreal, Mature Jack Pine.|1999||53.9163|-104.6920|579.00|ENF|Dfc|0.12|431|CA-Ojp|Saskatchewan - Western Boreal, Mature Jack Pine.|1999|NA|53.9163|-104.692|579|0.12|431|Dfc|NA|no
CA-Qcu|Quebec - Eastern Boreal, Black Spruce/Jack Pine Cutover.|2001||49.2671|-74.0365|392.30|ENF|Dfc|0.13|950|CA-Qcu|Quebec - Eastern Boreal, Black Spruce/Jack Pine Cutover.|2001|NA|49.2671|-74.0365|392.3|0.13|950|Dfc|NA|no
CA-Qfo|Quebec - Eastern Boreal, Mature Black Spruce.|2003||49.6925|-74.3421|382.00|ENF|Dfc|-0.36|962|CA-Qfo|Quebec - Eastern Boreal, Mature Black Spruce.|2003|NA|49.6925|-74.3421|382|-0.36|962|Dfc|NA|yes
CA-SF1|Saskatchewan - Western Boreal, forest burned in 1977.|2004|2006|54.4850|-105.8176|536.00|ENF|Dfc|0.40|470|CA-SF1|Saskatchewan - Western Boreal, forest burned in 1977.|2004|2006|54.485|-105.8176|536|0.4|470|Dfc|3|yes
CA-SF2|Saskatchewan - Western Boreal, forest burned in 1989.|2001|2005|54.2539|-105.8775|520.00|ENF|Dfc|0.40|470|CA-SF2|Saskatchewan - Western Boreal, forest burned in 1989.|2001|2005|54.2539|-105.8775|520|0.4|470|Dfc|5|yes
CA-SF3|Saskatchewan - Western Boreal, forest burned in 1998.|2001|2006|54.0916|-106.0053|540.00|OSH|Dfc|0.40|470|CA-SF3|Saskatchewan - Western Boreal, forest burned in 1998.|2001|2006|54.0916|-106.0053|540|0.4|470|Dfc|6|yes
CA-SJ1|Saskatchewan - Western Boreal, Jack Pine forest harvested in 1994.|2001||53.9080|-104.6560|580.00|ENF|Dfc|0.13|430|CA-SJ1|Saskatchewan - Western Boreal, Jack Pine forest harvested in 1994.|2001|NA|53.908|-104.656|580|0.13|430|Dfc|NA|no
CA-SJ2|Saskatchewan - Western Boreal, Jack Pine forest harvested in 2002.|2003||53.9450|-104.6490|580.00|ENF|Dfc|0.11|430|CA-SJ2|Saskatchewan - Western Boreal, Jack Pine forest harvested in 2002.|2003|NA|53.945|-104.649|580|0.11|430|Dfc|NA|no
CA-SJ3|Saskatchewan - Western Boreal, Jack Pine forest harvested in 1975 (BOREAS Young Jack Pine).|2004||53.8758|-104.6453||ENF|Dfc|0.13|433|CA-SJ3|Saskatchewan - Western Boreal, Jack Pine forest harvested in 1975 (BOREAS Young Jack Pine).|2004|NA|53.8758|-104.6453|NA|0.13|433|Dfc|NA|no
CA-TP1|Ontario - Turkey Point 2002 Plantation White Pine|2003||42.6609|-80.5595|265.00|ENF|Dfb|8.00|1036|CA-TP1|Ontario - Turkey Point 2002 Plantation White Pine|2003|NA|42.6609|-80.5595|265|8|1036|Dfb|NA|yes
CA-TP2|Ontario - Turkey Point 1989 Plantation White Pine|2003|2008|42.7744|-80.4588|212.00|ENF|Dfb|8.00|1036|CA-TP2|Ontario - Turkey Point 1989 Plantation White Pine|2003|2008|42.7744|-80.4588|212|8|1036|Dfb|6|yes
CA-TP3|Ontario - Turkey Point 1974 Plantation White Pine|2003||42.7068|-80.3483|184.00|ENF|Dfb|8.00|1036|CA-TP3|Ontario - Turkey Point 1974 Plantation White Pine|2003|NA|42.7068|-80.3483|184|8|1036|Dfb|NA|yes
CA-TP4|Ontario - Turkey Point 1939 Plantation White Pine|2003||42.7102|-80.3574|184.00|ENF|Dfb|8.00|1036|CA-TP4|Ontario - Turkey Point 1939 Plantation White Pine|2003|NA|42.7102|-80.3574|184|8|1036|Dfb|NA|yes
CA-TPD|Ontario - Turkey Point Mature Deciduous|2012||42.6353|-80.5577|260.00|DBF|Dfb|8.00|1036|CA-TPD|Ontario - Turkey Point Mature Deciduous|2012|NA|42.6353|-80.5577|260|8|1036|Dfb|NA|yes
CA-WP1|Alberta - Western Peatland - LaBiche River,Black Spruce/Larch Fen|2003||54.9538|-112.4670|540.00|WET|Dfc|1.10|461|CA-WP1|Alberta - Western Peatland - LaBiche River,Black Spruce/Larch Fen|2003|NA|54.9538|-112.467|540|1.1|461|Dfc|NA|no
CA-WP2|Alberta - Western Peatland - Poor Fen (Sphagnum moss).|2004|2004|55.5375|-112.3343||WET|Dfc|||CA-WP2|Alberta - Western Peatland - Poor Fen (Sphagnum moss).|2004|2004|55.5375|-112.3343|NA|NA|NA|Dfc|1|no
CA-WP3|Alberta - Western Peatland - Rich Fen  (Carex)|2004|2004|54.4700|-113.3200||WET|Dfc|||CA-WP3|Alberta - Western Peatland - Rich Fen  (Carex)|2004|2004|54.47|-113.32|NA|NA|NA|Dfc|1|no
CR-Lse|La Selva|1998||10.4233|-84.0211|100.00|EBF|Am|25.90|3966|CR-Lse|La Selva|1998|NA|10.4233|-84.0211|100|25.9|3966|Am|NA|yes
CR-SoC|Soltis Center|2014||10.3827|-84.6210|538.00|EBF|Af||4200|CR-SoC|Soltis Center|2014|NA|10.3827|-84.621|538|NA|4200|Af|NA|no
MX-Lpa|La Paz|2001||24.1293|-110.4380|21.00|OSH|Bwh|23.60|182|MX-Lpa|La Paz|2001|NA|24.1293|-110.438|21|23.6|182|Bwh|NA|yes
PA-Bar|Barro Colorado Island|2012||9.1540|-79.8480|150.00|EBF|Af|26.00|2800|PA-Bar|Barro Colorado Island|2012|NA|9.154|-79.848|150|26|2800|Af|NA|no
US-ADR|Amargosa Desert Research Site (ADRS)|2011||36.7653|-116.6933|842.00|BSV|Bwh|17.50|110|US-ADR|Amargosa Desert Research Site (ADRS)|2011|NA|36.7653|-116.6933|842|17.5|110|Bwh|NA|no
US-Akn|Aiken|2011||33.3833|-81.5656|92.00|MF||||US-Akn|Aiken|2011|NA|33.3833|-81.5656|92|NA|NA|NA|NA|yes
US-An1|Anaktuvuk River Severe Burn|2008||68.9900|-150.2800|600.00|OSH||||US-An1|Anaktuvuk River Severe Burn|2008|NA|68.99|-150.28|600|NA|NA|NA|NA|yes
US-An2|Anaktuvuk River Moderate Burn|2008||68.9500|-150.2100|600.00|OSH||||US-An2|Anaktuvuk River Moderate Burn|2008|NA|68.95|-150.21|600|NA|NA|NA|NA|yes
US-An3|Anaktuvuk River Unburned|2008||68.9300|-150.2700|600.00|OSH||||US-An3|Anaktuvuk River Unburned|2008|NA|68.93|-150.27|600|NA|NA|NA|NA|yes
US-AR1|ARM USDA UNL OSU Woodward Switchgrass 1|2009||36.4267|-99.4200|611.00|GRA||||US-AR1|ARM USDA UNL OSU Woodward Switchgrass 1|2009|NA|36.4267|-99.42|611|NA|NA|NA|NA|yes
US-AR2|ARM USDA UNL OSU Woodward Switchgrass 2|2009||36.6358|-99.5975|646.00|GRA||||US-AR2|ARM USDA UNL OSU Woodward Switchgrass 2|2009|NA|36.6358|-99.5975|646|NA|NA|NA|NA|yes
US-ARb|ARM Southern Great Plains burn site- Lamont|2005|2006|35.5497|-98.0402|424.00|GRA|Cfa|||US-ARb|ARM Southern Great Plains burn site- Lamont|2005|2006|35.5497|-98.0402|424|NA|NA|Cfa|2|no
US-ARc|ARM Southern Great Plains control site- Lamont|2005|2006|35.5465|-98.0400|424.00|GRA|Cfa|||US-ARc|ARM Southern Great Plains control site- Lamont|2005|2006|35.5465|-98.04|424|NA|NA|Cfa|2|no
US-ARM|ARM Southern Great Plains site- Lamont|2002||36.6058|-97.4888|314.00|CRO|Cfa|14.76|843|US-ARM|ARM Southern Great Plains site- Lamont|2002|NA|36.6058|-97.4888|314|14.76|843|Cfa|NA|yes
US-Atq|Atqasuk|1999||70.4696|-157.4089|15.00|WET|ET|-9.70|93|US-Atq|Atqasuk|1999|NA|70.4696|-157.4089|15|-9.7|93|ET|NA|yes
US-Aud|Audubon Research Ranch|2002||31.5907|-110.5104|1469.00|GRA|Bsk|14.85|438|US-Aud|Audubon Research Ranch|2002|NA|31.5907|-110.5104|1469|14.85|438|Bsk|NA|yes
US-Bar|Bartlett Experimental Forest|2004||44.0646|-71.2881|272.00|DBF|Dfb|5.61|1246|US-Bar|Bartlett Experimental Forest|2004|NA|44.0646|-71.2881|272|5.61|1246|Dfb|NA|yes
US-BdA|Burdette Farm Rice Field - AWD|||35.8089|-90.0327||CRO|Cfa|||US-BdA|Burdette Farm Rice Field - AWD|NA|NA|35.8089|-90.0327|NA|NA|NA|Cfa|NA|no
US-BdC|Burdette Farm Rice Field - conventional|||35.8089|-90.0284||CRO|Cfa|||US-BdC|Burdette Farm Rice Field - conventional|NA|NA|35.8089|-90.0284|NA|NA|NA|Cfa|NA|no
US-Bes|Barrow-Bes (Biocomplexity Experiment South tower)|2005||71.2809|-156.5965|4.60|WET|ET|-12.00|173|US-Bes|Barrow-Bes (Biocomplexity Experiment South tower)|2005|NA|71.2809|-156.5965|4.6|-12|173|ET|NA|no
US-Bkg|Brookings|2004||44.3453|-96.8362|510.00|GRA|Dfa|6.03|586|US-Bkg|Brookings|2004|NA|44.3453|-96.8362|510|6.03|586|Dfa|NA|yes
US-Blk|Black Hills|2003|2008|44.1580|-103.6500|1718.00|ENF|Dfb|6.23|574|US-Blk|Black Hills|2003|2008|44.158|-103.65|1718|6.23|574|Dfb|6|yes
US-Blo|Blodgett Forest|1997|2006|38.8953|-120.6328|1315.00|ENF|Csa|11.09|1226|US-Blo|Blodgett Forest|1997|2006|38.8953|-120.6328|1315|11.09|1226|Csa|10|yes
US-Bn1|Bonanza Creek, 1920 Burn site near Delta Junction|2003|2004|63.9198|-145.3782|518.00|ENF|Dsc|||US-Bn1|Bonanza Creek, 1920 Burn site near Delta Junction|2003|2004|63.9198|-145.3782|518|NA|NA|Dsc|2|yes
US-Bn2|Bonanza Creek, 1987 Burn site near Delta Junction|2003||63.9198|-145.3782|410.00|DBF|Dsc|||US-Bn2|Bonanza Creek, 1987 Burn site near Delta Junction|2003|NA|63.9198|-145.3782|410|NA|NA|Dsc|NA|yes
US-Bn3|Bonanza Creek, 1999 Burn site near Delta Junction|2003||63.9227|-145.7442|469.00|OSH|Dsc|||US-Bn3|Bonanza Creek, 1999 Burn site near Delta Junction|2003|NA|63.9227|-145.7442|469|NA|NA|Dsc|NA|yes
US-Bo1|Bondville|1996||40.0062|-88.2904|219.00|CRO|Dfa|11.02|991|US-Bo1|Bondville|1996|NA|40.0062|-88.2904|219|11.02|991|Dfa|NA|yes
US-Bo2|Bondville (companion site)|2004|2008|40.0090|-88.2900|219.00|CRO|Dfa|11.02|991|US-Bo2|Bondville (companion site)|2004|2008|40.009|-88.29|219|11.02|991|Dfa|5|yes
US-Br1|Brooks Field Site 10- Ames|2001||41.6915|-93.6914|313.00|CRO|Dfa|8.95|842|US-Br1|Brooks Field Site 10- Ames|2001|NA|41.6915|-93.6914|313|8.95|842|Dfa|NA|yes
US-Br2|Brooks Field Site 1011- Ames|2005||41.9757|-93.6925|314.00|CRO|Dfa|8.89|847|US-Br2|Brooks Field Site 1011- Ames|2005|NA|41.9757|-93.6925|314|8.89|847|Dfa|NA|no
US-Br3|Brooks Field Site 11- Ames|2001||41.9747|-93.6936|313.00|CRO|Dfa|8.90|847|US-Br3|Brooks Field Site 11- Ames|2001|NA|41.9747|-93.6936|313|8.9|847|Dfa|NA|yes
US-Brw|Barrow|1998||71.3225|-156.6259|1.00|WET|ET|-12.60|85|US-Brw|Barrow|1998|NA|71.3225|-156.6259|1|-12.6|85|ET|NA|yes
US-CaV|Canaan Valley|2004||39.0633|-79.4208|994.00|GRA|Cfb|7.97|1317|US-CaV|Canaan Valley|2004|NA|39.0633|-79.4208|994|7.97|1317|Cfb|NA|yes
US-Ced|Cedar Bridge|2005||39.8379|-74.3791|58.00|CSH|Cfa|11.04|1138|US-Ced|Cedar Bridge|2005|NA|39.8379|-74.3791|58|11.04|1138|Cfa|NA|yes
US-ChR|Chestnut Ridge|2005||35.9311|-84.3324|286.00|DBF|Cfa|13.91|1359|US-ChR|Chestnut Ridge|2005|NA|35.9311|-84.3324|286|13.91|1359|Cfa|NA|no
US-Cop|Corral Pocket|2001|2007|38.0900|-109.3900|1520.00|GRA||||US-Cop|Corral Pocket|2001|2007|38.09|-109.39|1520|NA|NA|NA|7|yes
US-CPk|Chimney Park|2009||41.0680|-106.1187|2750.00|ENF|Dfc|6.10|545|US-CPk|Chimney Park|2009|NA|41.068|-106.1187|2750|6.1|545|Dfc|NA|yes
US-CRT|Curtice Walter-Berger cropland|2011|2013|41.6285|-83.3471|180.00|CRO|Dfa|10.10|849|US-CRT|Curtice Walter-Berger cropland|2011|2013|41.6285|-83.3471|180|10.1|849|Dfa|3|yes
US-Cst|Crossett Experimental Forest|2012||33.0442|-91.9204|50.00|ENF|Cfa|17.40|1410|US-Cst|Crossett Experimental Forest|2012|NA|33.0442|-91.9204|50|17.4|1410|Cfa|NA|no
US-Ctn|Cottonwood|2007|2009|43.9500|-101.8466|744.00|GRA||||US-Ctn|Cottonwood|2007|2009|43.95|-101.8466|744|NA|NA|NA|3|yes
US-Dea|California UC ANR Desert Research and Extension Center Alfalfa|2014||32.8136|-115.4423|-53.00|CRO|Dsa|20.50|131|US-Dea|California UC ANR Desert Research and Extension Center Alfalfa|2014|NA|32.8136|-115.4423|-53|20.5|131|Dsa|NA|no
US-Deu|California UC ANR Desert Research and Extension Center Urban Farm Tower|2014||32.8056|-115.4456|-53.00|URB|Dsa|20.50|131|US-Deu|California UC ANR Desert Research and Extension Center Urban Farm Tower|2014|NA|32.8056|-115.4456|-53|20.5|131|Dsa|NA|no
US-Dia|Diablo|2010||37.6773|-121.5296|323.00|GRA|Csa|15.60|265|US-Dia|Diablo|2010|NA|37.6773|-121.5296|323|15.6|265|Csa|NA|yes
US-Dix|Fort Dix|2005|2008|39.9712|-74.4346|48.00|MF|Cfa|11.07|1127|US-Dix|Fort Dix|2005|2008|39.9712|-74.4346|48|11.07|1127|Cfa|4|yes
US-Dk1|Duke Forest-open field|2001||35.9712|-79.0934|168.00|GRA|Cfa|14.36|1170|US-Dk1|Duke Forest-open field|2001|NA|35.9712|-79.0934|168|14.36|1170|Cfa|NA|yes
US-Dk2|Duke Forest-hardwoods|2003||35.9736|-79.1004|168.00|DBF|Cfa|14.36|1169|US-Dk2|Duke Forest-hardwoods|2003|NA|35.9736|-79.1004|168|14.36|1169|Cfa|NA|yes
US-Dk3|Duke Forest - loblolly pine|2001|2008|35.9782|-79.0942|163.00|ENF|Cfa|14.36|1170|US-Dk3|Duke Forest - loblolly pine|2001|2008|35.9782|-79.0942|163|14.36|1170|Cfa|8|yes
US-Elm|Everglades (long hydroperiod marsh)|2007||25.5519|-80.7826|0.77|WET||||US-Elm|Everglades (long hydroperiod marsh)|2007|NA|25.5519|-80.7826|0.77|NA|NA|NA|NA|yes
US-EML|Eight Mile Lake Permafrost|2008||63.8784|-149.2536|700.00|OSH|ET|-1.00|378|US-EML|Eight Mile Lake Permafrost|2008|NA|63.8784|-149.2536|700|-1|378|ET|NA|no
US-Esm|Everglades (short hydroperiod marsh)|2007||25.4379|-80.5946|1.07|WET||||US-Esm|Everglades (short hydroperiod marsh)|2007|NA|25.4379|-80.5946|1.07|NA|NA|NA|NA|yes
US-Fmf|Flagstaff - Managed Forest|2006|2010|35.1426|-111.7273|2160.00|ENF|Csb|9.50|546|US-Fmf|Flagstaff - Managed Forest|2006|2010|35.1426|-111.7273|2160|9.5|546|Csb|5|yes
US-FPe|Fort Peck|2000||48.3077|-105.1019|634.00|GRA|Bsk|5.48|335|US-FPe|Fort Peck|2000|NA|48.3077|-105.1019|634|5.48|335|Bsk|NA|yes
US-FR1|Freeman Ranch- Grassland|2004||29.9300|-98.0100|230.00|GRA|Cfa|19.56|867|US-FR1|Freeman Ranch- Grassland|2004|NA|29.93|-98.01|230|19.56|867|Cfa|NA|no
US-FR2|Freeman Ranch- Mesquite Juniper|2004||29.9495|-97.9962|271.90|WSA|Cfa|19.48|864|US-FR2|Freeman Ranch- Mesquite Juniper|2004|NA|29.9495|-97.9962|271.9|19.48|864|Cfa|NA|yes
US-FR3|Freeman Ranch- Woodland|2004||29.9400|-97.9900|232.00|CSH|Cfa|19.59|869|US-FR3|Freeman Ranch- Woodland|2004|NA|29.94|-97.99|232|19.59|869|Cfa|NA|yes
US-Fuf|Flagstaff - Unmanaged Forest|2006|2010|35.0890|-111.7620|2180.00|ENF|Csb|8.70|562|US-Fuf|Flagstaff - Unmanaged Forest|2006|2010|35.089|-111.762|2180|8.7|562|Csb|5|yes
US-Fwf|Flagstaff - Wildfire|2006|2010|35.4454|-111.7718|2270.00|GRA|Csb|8.40|557|US-Fwf|Flagstaff - Wildfire|2006|2010|35.4454|-111.7718|2270|8.4|557|Csb|5|yes
US-GLE|GLEES|2004||41.3665|-106.2400|3190.00|ENF|Dfc|0.80|1200|US-GLE|GLEES|2004|NA|41.3665|-106.24|3190|0.8|1200|Dfc|NA|yes
US-GMF|Great Mountain Forest|1999|2004|41.9667|-73.2333|380.00|MF|Dfb|6.08|1259|US-GMF|Great Mountain Forest|1999|2004|41.9667|-73.2333|380|6.08|1259|Dfb|6|yes
US-Goo|Goodwin Creek|2002|2006|34.2547|-89.8735|87.00|GRA|Cfa|15.89|1426|US-Goo|Goodwin Creek|2002|2006|34.2547|-89.8735|87|15.89|1426|Cfa|5|yes
US-Ha1|Harvard Forest EMS Tower (HFR1)|1991||42.5378|-72.1715|340.00|DBF|Dfb|6.62|1071|US-Ha1|Harvard Forest EMS Tower (HFR1)|1991|NA|42.5378|-72.1715|340|6.62|1071|Dfb|NA|yes
US-Ha2|Harvard Forest Hemlock Site|2004||42.5393|-72.1779|360.00|ENF|Dfb|6.56|1071|US-Ha2|Harvard Forest Hemlock Site|2004|NA|42.5393|-72.1779|360|6.56|1071|Dfb|NA|yes
US-Ho1|Howland Forest (main tower)|1996||45.2041|-68.7402|60.00|ENF|Dfb|5.27|1070|US-Ho1|Howland Forest (main tower)|1996|NA|45.2041|-68.7402|60|5.27|1070|Dfb|NA|yes
US-Ho2|Howland Forest (west tower)|1999||45.2091|-68.7470|91.00|ENF|Dfb|5.13|1064|US-Ho2|Howland Forest (west tower)|1999|NA|45.2091|-68.747|91|5.13|1064|Dfb|NA|yes
US-Ho3|Howland Forest (harvest site)|2000||45.2072|-68.7250|61.00|ENF|Dfb|5.31|1072|US-Ho3|Howland Forest (harvest site)|2000|NA|45.2072|-68.725|61|5.31|1072|Dfb|NA|yes
US-HRA|Humnoke Farm Rice Field - AWD|||34.5833|-91.7480||CRO|Cfa|||US-HRA|Humnoke Farm Rice Field - AWD|NA|NA|34.5833|-91.748|NA|NA|NA|Cfa|NA|no
US-HRC|Humnoke Farm Rice Field - conventional|||34.5857|-91.7475||CRO|Cfa|||US-HRC|Humnoke Farm Rice Field - conventional|NA|NA|34.5857|-91.7475|NA|NA|NA|Cfa|NA|no
US-HVa|Happy Valley|1994|1995|69.1333|-148.8333|349.00|WET|Dfc|-10.29|217|US-HVa|Happy Valley|1994|1995|69.1333|-148.8333|349|-10.29|217|Dfc|2|yes
US-IB1|Fermi National Accelerator Laboratory- Batavia (Agricultural site)|2005||41.8593|-88.2227|226.50|CRO|Dfa|9.18|929|US-IB1|Fermi National Accelerator Laboratory- Batavia (Agricultural site)|2005|NA|41.8593|-88.2227|226.5|9.18|929|Dfa|NA|yes
US-IB2|Fermi National Accelerator Laboratory- Batavia (Prairie site)|2004||41.8406|-88.2410|226.50|GRA|Dfa|9.04|930|US-IB2|Fermi National Accelerator Laboratory- Batavia (Prairie site)|2004|NA|41.8406|-88.241|226.5|9.04|930|Dfa|NA|yes
US-ICh|Imnavait Creek Watershed Heath Tundra|2007||68.6068|-149.2958|940.00|OSH|ET|-7.40|318|US-ICh|Imnavait Creek Watershed Heath Tundra|2007|NA|68.6068|-149.2958|940|-7.4|318|ET|NA|yes
US-ICs|Imnavait Creek Watershed Wet Sedge Tundra|2007||68.6058|-149.3110|920.00|WET|ET|-7.40|318|US-ICs|Imnavait Creek Watershed Wet Sedge Tundra|2007|NA|68.6058|-149.311|920|-7.4|318|ET|NA|yes
US-ICt|Imnavait Creek Watershed Tussock Tundra|2007||68.6063|-149.3041|930.00|OSH|ET|-7.40|318|US-ICt|Imnavait Creek Watershed Tussock Tundra|2007|NA|68.6063|-149.3041|930|-7.4|318|ET|NA|yes
US-Ivo|Ivotuk|2003||68.4865|-155.7503|568.00|WET|ET|-8.28|304|US-Ivo|Ivotuk|2003|NA|68.4865|-155.7503|568|-8.28|304|ET|NA|yes
US-KCM|KCMP Tall Tower|2007||44.6886|-93.0728|290.00|CRO||||US-KCM|KCMP Tall Tower|2007|NA|44.6886|-93.0728|290|NA|NA|NA|NA|no
US-KFB|Konza Prairie LTER (4B)|2006||39.0745|-96.5951|330.00|GRA|Cfa|12.77|867|US-KFB|Konza Prairie LTER (4B)|2006|NA|39.0745|-96.5951|330|12.77|867|Cfa|NA|no
